"Id","Player","Position","Age","National","Club","League","Height","Foot","Market value"
"92","Evan Ferguson","Centre-Forward","19","Ireland","Brighton & Hove Albion","Premier League","1,88 m","right","€50.00m "
"93","Benjamin Sesko","Centre-Forward","21","Slovenia","RB Leipzig","Bundesliga","1,95 m","right","€50.00m "
"94","Levi Colwill","Centre-Back","21","England","Chelsea FC","Premier League","1,87 m","left","€50.00m "
"95","Matheus Nunes","Central Midfield","25","Portugal","Manchester City","Premier League","1,83 m","right","€50.00m "
"96","Gonçalo Ramos","Centre-Forward","23","Portugal","Paris Saint-Germain","Ligue 1","1,85 m","right","€50.00m "
"97","Mohammed Kudus","Attacking Midfield","23","Ghana","West Ham United","Premier League","1,77 m","left","€50.00m "
"98","Jonathan David","Centre-Forward","24","Canada","LOSC Lille","Ligue 1","1,80 m","both","€50.00m "
"99","Conor Gallagher","Central Midfield","24","England","Chelsea FC","Premier League","1,82 m","right","€50.00m "
"100","Amadou Onana","Defensive Midfield","22","Belgium","Everton FC","Premier League","1,95 m","right","€50.00m "
"101","Jeremie Frimpong","Right Midfield","23","Netherlands","Bayer 04 Leverkusen","Bundesliga","1,72 m","right","€50.00m "
"102","Lisandro Martínez","Centre-Back","26","Argentina","Manchester United","Premier League","1,75 m","left","€50.00m  "
"103","Joshua Zirkzee","Centre-Forward","23","Netherlands","Manchester United","Premier League","1,93 m","right","€50.00m "
"104","Alphonso Davies","Left-Back","23","Canada","Bayern Munich","Bundesliga","1,85 m","left","€50.00m "
"105","Martín Zubimendi","Defensive Midfield","25","Spain","Real Sociedad","La Liga","1,81 m","right","€50.00m "
"106","Raphinha","Right Winger","27","Brazil","FC Barcelona","La Liga","1,76 m","left","€50.00m "
"107","Takefusa Kubo","Right Winger","23","Japan","Real Sociedad","La Liga","1,73 m","left","€50.00m "
"108","Teun Koopmeiners","Attacking Midfield","26","Netherlands","Atalanta BC","Serie A","1,84 m","left","€50.00m "
"109","Benjamin Pavard","Centre-Back","28","France","Inter Milan","Serie A","1,86 m","right","€50.00m "
"110","Diogo Jota","Left Winger","27","Portugal","Liverpool FC","Premier League","1,78 m","right","€50.00m "
"111","Mikel Merino","Central Midfield","28","Spain","Real Sociedad","La Liga","1,89 m","left","€50.00m "
"112","Jarrod Bowen","Right Winger","27","England","West Ham United","Premier League","1,76 m","left","€50.00m "
"113","Ivan Toney","Centre-Forward","28","England","Brentford FC","Premier League","1,85 m","right","€50.00m "
"114","Kingsley Coman","Left Winger","28","France","Bayern Munich","Bundesliga","1,81 m","right","€50.00m "
"115","Federico Dimarco","Left-Back","26","Italy","Inter Milan","Serie A","1,75 m","left","€50.00m "
"116","Marquinhos","Centre-Back","30","Brazil","Paris Saint-Germain","Ligue 1","1,83 m","right","€50.00m "
"117","Joshua Kimmich","Right-Back","29","Germany","Bayern Munich","Bundesliga","1,77 m","right","€50.00m "
"118","Kevin De Bruyne","Attacking Midfield","33","Belgium","Manchester City","Premier League","1,81 m","right","€50.00m "
"119","Brennan Johnson","Right Winger","23","Wales","Tottenham Hotspur","Premier League","1,86 m","right","€48.00m "
"120","Arda Güler","Right Winger","19","Türkiye","Real Madrid","La Liga","1,75 m","left","€45.00m  "
"121","Alejandro Garnacho","Left Winger","20","Argentina","Manchester United","Premier League","1,80 m","right","€45.00m "
"122","António Silva","Centre-Back","20","Portugal","SL Benfica","Liga Portugal Betclic","1,87 m","right","€45.00m "
"123","João Pedro","Centre-Forward","22","Brazil","Brighton & Hove Albion","Premier League","1,88 m","right","€45.00m "
"124","Giorgio Scalvini","Centre-Back","20","Italy","Atalanta BC","Serie A","1,94 m","right","€45.00m "
"125","Pape Matar Sarr","Central Midfield","21","Senegal","Tottenham Hotspur","Premier League","1,84 m","right","€45.00m "
"126","Johan Bakayoko","Right Winger","21","Belgium","PSV Eindhoven","Eredivisie","1,79 m","left","€45.00m "
"127","Edmond Tapsoba","Centre-Back","25","Burkina Faso","Bayer 04 Leverkusen","Bundesliga","1,94 m","right","€45.00m "
"128","Destiny Udogie","Left-Back","21","Italy","Tottenham Hotspur","Premier League","1,88 m","left","€45.00m "
"129","Pedro Porro","Right-Back","24","Spain","Tottenham Hotspur","Premier League","1,73 m","right","€45.00m "
"130","Gonçalo Inácio","Centre-Back","22","Portugal","Sporting CP","Liga Portugal Betclic","1,86 m","left","€45.00m "
"131","Matheus Cunha","Centre-Forward","25","Brazil","Wolverhampton Wanderers","Premier League","1,83 m","right","€45.00m "
"132","Kaoru Mitoma","Left Winger","27","Japan","Brighton & Hove Albion","Premier League","1,78 m","right","€45.00m "
"133","Min-jae Kim","Centre-Back","27","Korea, South","Bayern Munich","Bundesliga","1,90 m","right","€45.00m "
"134","Riccardo Calafiori","Centre-Back","22","Italy","Bologna FC 1909","Serie A","1,88 m","left","€45.00m  "
"135","Giorgi Mamardashvili","Goalkeeper","23","Georgia","Valencia CF","La Liga","1,97 m","left","€45.00m  "
"136","Randal Kolo Muani","Centre-Forward","25","France","Paris Saint-Germain","Ligue 1","1,87 m","right","€45.00m "
"137","Manuel Ugarte","Defensive Midfield","23","Uruguay","Paris Saint-Germain","Ligue 1","1,82 m","right","€45.00m "
"138","Jules Koundé","Centre-Back","25","France","FC Barcelona","La Liga","1,80 m","right","€45.00m "
"139","Exequiel Palacios","Central Midfield","25","Argentina","Bayer 04 Leverkusen","Bundesliga","1,78 m","right","€45.00m "
"140","Pau Torres","Centre-Back","27","Spain","Aston Villa","Premier League","1,92 m","left","€45.00m "
"141","Sven Botman","Centre-Back","24","Netherlands","Newcastle United","Premier League","1,95 m","left","€45.00m "
"142","Diogo Costa","Goalkeeper","24","Portugal","FC Porto","Liga Portugal Betclic","1,86 m","right","€45.00m  "
"143","Ibrahima Konaté","Centre-Back","25","France","Liverpool FC","Premier League","1,94 m","right","€45.00m "
"144","Mikel Oyarzabal","Centre-Forward","27","Spain","Real Sociedad","La Liga","1,81 m","left","€45.00m "
"145","Dayot Upamecano","Centre-Back","25","France","Bayern Munich","Bundesliga","1,86 m","right","€45.00m "
"146","Manuel Akanji","Centre-Back","29","Switzerland","Manchester City","Premier League","1,88 m","right","€45.00m "
"147","Alejandro Grimaldo","Left-Back","28","Spain","Bayer 04 Leverkusen","Bundesliga","1,71 m","left","€45.00m "
"148","Hakan Çalhanoğlu","Defensive Midfield","30","Türkiye","Inter Milan","Serie A","1,78 m","right","€45.00m "
"149","Heung-min Son","Left Winger","32","Korea, South","Tottenham Hotspur","Premier League","1,84 m","both","€45.00m "
"150","Jarrad Branthwaite","Centre-Back","22","England","Everton FC","Premier League","1,95 m","left","€42.00m "
"151","Leon Bailey","Right Winger","26","Jamaica","Aston Villa","Premier League","1,78 m","left","€42.00m "
"152","Ousmane Diomande","Centre-Back","20","Cote d'Ivoire","Sporting CP","Liga Portugal Betclic","1,90 m","right","€40.00m "
"153","Mathys Tel","Left Winger","19","France","Bayern Munich","Bundesliga","1,83 m","right","€40.00m "
"154","Piero Hincapié","Centre-Back","22","Ecuador","Bayer 04 Leverkusen","Bundesliga","1,84 m","left","€40.00m "
"155","Victor Boniface","Centre-Forward","23","Nigeria","Bayer 04 Leverkusen","Bundesliga","1,90 m","right","€40.00m "
"156","Alejandro Balde","Left-Back","20","Spain","FC Barcelona","La Liga","1,75 m","left","€40.00m "
"157","Castello Lukeba","Centre-Back","21","France","RB Leipzig","Bundesliga","1,84 m","left","€40.00m "
"158","Éderson","Central Midfield","25","Brazil","Atalanta BC","Serie A","1,83 m","right","€40.00m "
"159","Santiago Gimenez","Centre-Forward","23","Mexico","Feyenoord Rotterdam","Eredivisie","1,83 m","left","€40.00m "
"160","Álex Baena","Attacking Midfield","23","Spain","Villarreal CF","La Liga","1,74 m","right","€40.00m "
"161","Ian Maatsen","Left-Back","22","Netherlands","Aston Villa","Premier League","1,78 m","left","€40.00m "
"162","Reece James","Right-Back","24","England","Chelsea FC","Premier League","1,80 m","right","€40.00m "
"163","Morten Hjulmand","Defensive Midfield","25","Denmark","Sporting CP","Liga Portugal Betclic","1,85 m","right","€40.00m "
"164","Morgan Gibbs-White","Attacking Midfield","24","England","Nottingham Forest","Premier League","1,71 m","right","€40.00m "
"165","Bryan Mbeumo","Right Winger","24","Cameroon","Brentford FC","Premier League","1,71 m","left","€40.00m "
"166","Joey Veerman","Central Midfield","25","Netherlands","PSV Eindhoven","Eredivisie","1,85 m","right","€40.00m "
"167","Ademola Lookman","Second Striker","26","Nigeria","Atalanta BC","Serie A","1,74 m","right","€40.00m "
"168","Nico Schlotterbeck","Centre-Back","24","Germany","Borussia Dortmund","Bundesliga","1,91 m","left","€40.00m "
"169","Axel Disasi","Centre-Back","26","France","Chelsea FC","Premier League","1,90 m","right","€40.00m "
"170","Robin Le Normand","Centre-Back","27","Spain","Real Sociedad","La Liga","1,87 m","right","€40.00m "
"171","Joelinton","Central Midfield","27","Brazil","Newcastle United","Premier League","1,86 m","right","€40.00m "
"172","Donyell Malen","Right Winger","25","Netherlands","Borussia Dortmund","Bundesliga","1,76 m","right","€40.00m "
"173","Gianluigi Donnarumma","Goalkeeper","25","Italy","Paris Saint-Germain","Ligue 1","1,96 m","right","€40.00m "
"174","Christian Pulisic","Right Winger","25","United States","AC Milan","Serie A","1,77 m","right","€40.00m "
"175","Brahim Díaz","Attacking Midfield","24","Morocco","Real Madrid","La Liga","1,70 m","both","€40.00m "
"176","Brais Méndez","Attacking Midfield","27","Spain","Real Sociedad","La Liga","1,84 m","left","€40.00m "
"177","Fikayo Tomori","Centre-Back","26","England","AC Milan","Serie A","1,85 m","right","€40.00m "
"178","Lucas Hernández","Left-Back","28","France","Paris Saint-Germain","Ligue 1","1,84 m","left","€40.00m "
"179","Serhou Guirassy","Centre-Forward","28","Guinea","Borussia Dortmund","Bundesliga","1,87 m","right","€40.00m "
"180","Dominic Solanke","Centre-Forward","26","England","AFC Bournemouth","Premier League","1,86 m","right","€40.00m "
"181","Gregor Kobel","Goalkeeper","26","Switzerland","Borussia Dortmund","Bundesliga","1,96 m","right","€40.00m "
"182","Andreas Christensen","Centre-Back","28","Denmark","FC Barcelona","La Liga","1,87 m","right","€40.00m "
"183","Julian Brandt","Attacking Midfield","28","Germany","Borussia Dortmund","Bundesliga","1,85 m","right","€40.00m "
"184","Nathan Aké","Centre-Back","29","Netherlands","Manchester City","Premier League","1,80 m","left","€40.00m "
"185","Serge Gnabry","Right Winger","29","Germany","Bayern Munich","Bundesliga","1,76 m","right","€40.00m "
"186","Rico Lewis","Right-Back","19","England","Manchester City","Premier League","1,69 m","right","€38.00m "
"187","Jurrien Timber","Centre-Back","23","Netherlands","Arsenal FC","Premier League","1,79 m","right","€38.00m "
"188","Sandro Tonali","Defensive Midfield","24","Italy","Newcastle United","Premier League","1,81 m","right","€38.00m "
"189","Boubacar Kamara","Defensive Midfield","24","France","Aston Villa","Premier League","1,84 m","right","€38.00m "
"190","Marc Guéhi","Centre-Back","24","England","Crystal Palace","Premier League","1,82 m","right","€38.00m "
"191","Richarlison","Centre-Forward","27","Brazil","Tottenham Hotspur","Premier League","1,84 m","right","€38.00m "
"192","Oleksandr Zinchenko","Left-Back","27","Ukraine","Arsenal FC","Premier League","1,75 m","left","€38.00m "
"193","John Stones","Centre-Back","30","England","Manchester City","Premier League","1,88 m","right","€38.00m "
"194","Mike Maignan","Goalkeeper","29","France","AC Milan","Serie A","1,91 m","right","€38.00m "
"195","Murillo","Centre-Back","22","Brazil","Nottingham Forest","Premier League","1,84 m","left","€35.00m "
"196","Samu Omorodion","Centre-Forward","20","Spain","Atlético de Madrid","La Liga","1,93 m","right","€35.00m "
"197","Nicolas Jackson","Centre-Forward","23","Senegal","Chelsea FC","Premier League","1,88 m","right","€35.00m "
"198","Alan Varela","Defensive Midfield","23","Argentina","FC Porto","Liga Portugal Betclic","1,77 m","right","€35.00m "
"199","João Gomes","Central Midfield","23","Brazil","Wolverhampton Wanderers","Premier League","1,76 m","right","€35.00m "
"200","Evanilson","Centre-Forward","24","Brazil","FC Porto","Liga Portugal Betclic","1,83 m","both","€35.00m "
